time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.325,0.0,0,0.0,0,0,0,0
2.332,0.0,0,0.0,0,0,10,0
2.341,0.0,0,0.0,0,0,10,0
2.349,4.57,0,0.0,0,151,10,253
2.356,13.53,0,0.0,0,274,10,239
2.368,32.69,0,0.0,0,421,10,222
2.379,67.14,0,0.0,0,586,10,201
2.39,103.0,0,0.0,0,714,10,186
2.401,147.83,0,0.0,0,834,10,171
2.413,228.51,0,0.0,0,1001,10,151
2.424,296.54,0,0.0,0,1109,10,138
2.431,352.96,0,0.0,0,1186,10,128
2.439,431.19,0,0.0,0,1276,10,116
2.448,497.98,0,0.0,0,1341,10,109
2.46,557.5699999999999,0,0.0,0,1395,10,103
2.47,641.6,0,0.0,0,1463,10,96
2.481,741.97,0,0.0,0,1535,10,86
2.489,832.14,0,0.0,0,1591,10,80
2.499,943.24,0,0.0,0,1649,10,72
2.508,1030.07,0,0.0,0,1695,10,69
2.52,1115.85,0,0.0,0,1728,10,63
2.528,1224.1399999999999,0,0.0,0,1771,10,58
2.536,1333.47,0,0.0,0,1802,10,52
2.546,1436.13,0,0.0,0,1841,10,49
2.56,1515.93,0,0.0,0,1863,10,45
2.569,1668.69,0,0.0,0,1901,10,41
2.578,1810.01,0,0.0,0,1940,10,38
2.589,1911.62,0,0.0,0,1958,10,38
2.597,2031.85,0,0.0,0,1985,10,35
2.605,2141.36,0,0.0,0,2004,10,34
2.615,2216.6,0,0.0,0,2030,10,33
2.623,2337.18,0,0.0,0,2043,10,31
2.63,2454.43,0,0.0,0,2064,10,32
2.637,2575.01,0,0.0,0,2084,10,27
2.642,2633.37,0,0.0,0,2089,10,29
2.646,2721.09,0,0.0,0,2104,10,26
2.653,2775.05,0,0.0,0,2109,10,25
2.66,2830.07,0,0.0,0,2125,10,26
2.669,2934.49,0,0.0,0,2138,10,22
2.675,3036.26,0,0.0,0,2134,10,23
2.683,3135.23,0,0.0,0,2153,10,20
2.691,3225.23,0,0.0,0,2165,10,20
2.699,3338.96,0,0.0,0,2183,10,19
2.708,3408.22,0,0.0,0,2179,10,18
2.715,3527.57,0,0.0,0,2192,10,18
2.724,3636.56,0,0.0,0,2201,10,15
2.732,3769.8,0,0.0,0,2211,10,14
2.74,3870.17,0,0.0,0,2216,10,14
2.75,3967.91,0,0.0,0,2225,10,12
2.761,4056.85,0,0.0,0,2237,10,12
2.771,4206.62,0,0.0,0,2238,10,10
2.78,4351.28,0,0.0,0,2246,10,9
2.785,4489.27,0,0.0,0,2250,10,9
2.798,4611.97,0,0.0,0,2256,10,11
2.806,4703.9,0,0.0,0,2261,10,8
2.815,4866.67,0,0.0,0,2268,10,7
2.823,4973.02,0,0.0,0,2268,10,9
2.83,5118.39,0,0.0,0,2279,10,6
2.836,5178.86,0,0.0,0,2275,10,8
2.844,5274.49,0,0.0,0,2275,10,6
2.857,5385.93,0,0.0,0,2281,10,6
2.863,5522.87,0,0.0,0,2289,10,8
2.871,5664.9,0,0.0,0,2291,10,4
2.875,5762.98,0,0.0,0,2293,10,5
2.884,5843.49,0,0.0,0,2294,10,4
2.893,5896.93,0,0.0,0,2294,10,7
2.9,6036.32,0,0.0,0,2295,10,5
2.908,6173.26,0,0.0,0,2295,10,4
2.916,6274.51,0,0.0,0,2293,10,5
2.921,6394.04,0,0.0,0,2301,10,4
2.934,6459.78,0,0.0,0,2304,10,4
2.942,6535.54,0,0.0,0,2305,10,2
2.951,6717.3,0,0.0,0,2305,10,2
2.961,6842.46,0,0.0,0,2305,10,3
2.975,6965.5,0,0.0,0,2309,10,5
2.985,7138.3,0,0.0,0,2306,10,5
2.991,7289.47,0,0.0,0,2307,10,3
2.999,7419.9,0,0.0,0,2310,10,2
3.009,7517.46,0,0.0,0,2314,10,4
3.015,7613.08,0,0.0,0,2311,10,1
3.019,7772.87,0,0.0,0,2311,10,2
3.027,7826.66,0,0.0,0,2313,10,2
3.033,7878.69,0,0.0,0,2311,10,4
3.046,7991.89,0,0.0,0,2318,10,1
3.053,8125.31,0,0.0,0,2312,10,1
3.06,8275.78,0,0.0,0,2315,10,1
3.073,8366.13,0,0.0,0,2319,10,1
3.081,8534.35,0,0.0,0,2321,10,1
3.089,8667.77,0,0.0,0,2317,10,1
3.1,8787.12,0,0.0,0,2315,10,3
3.106,8893.3,0,0.0,0,2312,10,1
3.114,9022.67,0,0.0,0,2318,10,1
3.125,9122.69,0,0.0,0,2325,10,3
3.134,9259.98,0,0.0,0,2322,10,1
3.142,9390.41,0,0.0,0,2325,10,1
3.151,9518.9,0,0.0,0,2328,10,3
3.158,9607.14,0,0.0,0,2315,10,0
3.168,9764.82,0,0.0,0,2326,10,1
3.176,9834.08,0,0.0,0,2326,10,3
3.183,9973.12,0,0.0,0,2323,10,0
3.193,10084.74,0,0.0,0,2325,10,1
3.209,10196.36,0,0.0,0,2326,10,3
3.22,10354.92,0,0.0,0,2321,10,1
3.232,10572.53,0,0.0,0,2319,10,3
3.242,10735.48,0,0.0,0,2322,10,2
3.25,10899.49,0,0.0,0,2320,10,2
3.26,11014.62,0,0.0,0,2319,10,0
3.273,11103.22,0,0.0,0,2327,10,3
3.288,11284.98,0,0.0,0,2326,10,3
3.301,11451.09,0,0.0,0,2322,10,3
3.314,11644.45,0,0.0,0,2320,10,3
3.325,11852.75,0,0.0,0,2323,10,3
